Sigma,rouge-1-r,rouge-1-p,rouge-1-f,rouge-2-r,rouge-2-p,rouge-2-f,rouge-l-r,rouge-l-p,rouge-l-f
7.5e-07,0.5642245557345394,0.46322205321917825,0.4908901835600527,0.437361053454821,0.3683076382274614,0.383088034936719,0.5092339139697636,0.42501037251830626,0.44743765811479874
1e-06,0.5708251531283214,0.46799591561981435,0.4967767291649944,0.4436797078459948,0.3741211202015679,0.38938007390307816,0.5185678713741646,0.43117004064535047,0.45506593825366376
2.5e-06,0.5692096948421494,0.46542731171244306,0.49420041700270145,0.44263749756121257,0.37090907724331595,0.3865417391638611,0.5168654179559656,0.4280856084975245,0.45222722944690313
5e-06,0.5665281783415027,0.4636036509179056,0.49240718394292715,0.43884175377485063,0.3686183305657183,0.3843279373214708,0.5121345214257024,0.4258208060683477,0.44962236315345694
7.5e-06,0.5624364336444504,0.46296287637027245,0.4902653986382062,0.43096903604688297,0.3669050578526493,0.3798641135163454,0.5071335544962389,0.4236464941507071,0.4459713295715107
1e-05,0.5679895181135988,0.4689225878667889,0.49653368860530694,0.44014706781794166,0.3755695193124699,0.3892255764042672,0.5132486485767807,0.431042325572649,0.45349688251547665
2.5e-05,0.5633648376690112,0.46302055479474236,0.49018854726842315,0.43515861787921073,0.3678323672888019,0.38189114469244656,0.5089288050205029,0.4233876049703089,0.44605616612415167
5e-05,0.5677345281251995,0.46627034599334116,0.494015687418827,0.4401723567015022,0.37236753202809186,0.3867111286357474,0.513864951680958,0.429366875055076,0.4518854814077011
7.5e-05,0.5702861370323524,0.4642532418869844,0.49411973726077213,0.44419126706138,0.3704019307010701,0.38709986620460135,0.5184720771090714,0.42741518182716903,0.45262327883562176
0.0001,0.5715655185978504,0.4689661735613959,0.4972661237335244,0.44371755571996496,0.37455952372495965,0.3892209324571189,0.5168426158057147,0.43096611457095163,0.4540095772602265
0.00025,0.5738976421014773,0.4677039986039806,0.4983503557884137,0.4459936798489274,0.3727653543231082,0.3903044786667405,0.5218000840680622,0.4304419522495026,0.45663972231957994
0.0005,0.559580776795389,0.45958450141738244,0.48747714809493775,0.4305817224386556,0.3648869365660003,0.37898428685877467,0.5058463178119681,0.4214511306252498,0.4445056968194689
0.00075,0.5656098509686691,0.46415529273240946,0.491478720241406,0.4395393228691084,0.3706581054459897,0.38483954361759853,0.5101990586225726,0.4251155913196556,0.44743818480120945
0.001,0.5694918715316917,0.4689060578952768,0.4966591683099797,0.44127272530343853,0.37489932731106707,0.3887897823212208,0.5166920761310658,0.4313695173167914,0.45435507001321673
0.0025,0.5612853553700353,0.464890113561229,0.4910160822272798,0.43614312331684757,0.3711060947277106,0.38494872167562794,0.5092495261447305,0.42851365184470064,0.44984086794426004
0.005,0.554139434897162,0.45834814217866804,0.48345688067734927,0.42454686506736494,0.36098008809764576,0.3736875949492515,0.5009506832903537,0.42012280719749134,0.4409846000606293
0.0075,0.557996485243424,0.4733464912173082,0.49196577962448385,0.4360598334925578,0.3777145243789994,0.3859637422800838,0.5069945165421107,0.4351296143098141,0.45039105038025123
0.01,0.5242124540282967,0.4770792920290277,0.47504993432963344,0.40470569166800446,0.3806478507387564,0.3701831698970635,0.4778397046707019,0.4397207409569153,0.43607680438727836
0.025,0.30032143143605433,0.5082579400094275,0.3577319462612202,0.21819929388367637,0.41033136485307514,0.26689743252683734,0.27569623889278605,0.4698708289954355,0.3292197073770692
0.05,0.3749881954724262,0.48976995371645315,0.40328794458132655,0.27540077128007934,0.39126159650063663,0.3040379860822285,0.341860604832938,0.45258247468780083,0.36999119898080085
0.075,0.47054001517253075,0.4624044236066799,0.4398018111116425,0.35486166440078665,0.3646328485835416,0.3354478593794914,0.4268822758414946,0.4259582382438528,0.4022790839493631
0.1,0.49526953671983154,0.4554728868290937,0.45026088709135975,0.3731101795070418,0.35770390311574635,0.34261749340107495,0.44746077187475336,0.4182684458113428,0.41035264532243654
0.2,0.5656844819614493,0.4604081938125387,0.490845266609611,0.43286241449909274,0.3662629593331674,0.38069097954131853,0.5096539842400796,0.42244171158087995,0.44724957428992324
0.3,0.578214246615577,0.46388432946954655,0.4980141109004569,0.4420711075054096,0.3685291264221107,0.3857561378604525,0.5189165549475434,0.4230216208722247,0.45134078139589395
0.4,0.5653420938850389,0.4607926208868111,0.4913787892010776,0.42773741955999534,0.36534274965815394,0.3788910328229822,0.5063640532540277,0.4199233010239209,0.4447516340683975
0.5,0.5637768041897138,0.4581218660101103,0.4888225689424405,0.4222820056043123,0.36084507022999923,0.37371614071128706,0.5034615645312128,0.4168757790696086,0.4414567062630191
