Sigma,rouge-1-r,rouge-1-p,rouge-1-f,rouge-2-r,rouge-2-p,rouge-2-f,rouge-l-r,rouge-l-p,rouge-l-f
5e-05,0.5360094351913269,0.43510485944661553,0.46398090469963194,0.3860566404353156,0.3385157090583264,0.3464503742721935,0.4747958366063741,0.3926486413541057,0.4156653488072725
7.5e-05,0.5355562937753274,0.4367174853050484,0.4648265735496978,0.3870828911424424,0.340821519285865,0.3481921383074624,0.47541719365257934,0.39504946370251376,0.41742604706110986
0.0001,0.5346836296261958,0.434402726228967,0.46294653467287616,0.38470994100820094,0.33780648353850135,0.34550421723373226,0.47358586855871904,0.3920092677182551,0.4147048720710466
0.00025,0.5361083481258713,0.4352414134869758,0.46391066634342976,0.3867909247035575,0.3389579980360216,0.3470391307392104,0.47529576438093535,0.39313016944593576,0.4159740759938411
0.0005,0.5346337170981115,0.4346867628402401,0.46345530633586646,0.3858290075100417,0.3390892928941342,0.34711362154595793,0.47438131906269554,0.39330368125318776,0.41619500613789717
0.00075,0.5330408195616545,0.4337761343668781,0.4620744231659492,0.3846855896612743,0.33746454971254325,0.3453445146810166,0.4734495286794591,0.3927926662644172,0.41529757386169064
0.001,0.5314686493860765,0.4335310900491958,0.4613501268079502,0.3818798048364652,0.33669691378831285,0.34379225621335174,0.4699565233743331,0.39130655094273065,0.41312599410751955
0.0025,0.5300358452494364,0.4323870413309076,0.46027170437860254,0.38172524366915783,0.335944286645311,0.343428376084074,0.46964168633652104,0.39052302120630816,0.41264238744996196
0.005,0.5310090603038463,0.4333254356564458,0.46084027218916607,0.3825783370083633,0.33723614692325754,0.34412054559252636,0.47039229066550486,0.3912659768522586,0.4129601796099857
0.0075,0.5191982555212445,0.4384319199782356,0.45649253816556035,0.3748825636418257,0.3421918974307607,0.34158733743308595,0.4619416525821782,0.39717755603944843,0.4105714883613621
0.01,0.4644451288002434,0.44445020296245646,0.42799962825817567,0.33292288269038856,0.346634748678908,0.317323161327893,0.41160401922708745,0.40226803311116166,0.3837331458570739
0.025,0.3221099441938459,0.4677968895932843,0.3494739540584023,0.22706404809557035,0.3739016662841258,0.25592865743803583,0.2884265730158988,0.4288076976491824,0.31663658111706466
0.05,0.4644610450158014,0.4442132342085664,0.42772522067990565,0.3300478084678666,0.347464776883761,0.3166101050376395,0.4112388886792608,0.4019147504824049,0.3832839557424227
0.075,0.4994057250989633,0.4373388357530646,0.4456204580067528,0.35930253786466176,0.34307255158822875,0.333398956077089,0.44252075126390744,0.39594728684730107,0.39980672462387007
0.1,0.508609412968625,0.43264219759540895,0.44870556167416054,0.36567394148015153,0.3380361349017842,0.335165847143347,0.4493638538166881,0.3907447018850268,0.40163042402542604
0.2,0.5387432053954905,0.4366918102158902,0.4656463365054276,0.38855886890690927,0.33915060025776556,0.34756933293725445,0.47675629368444467,0.3944718112963057,0.4172163560035149
0.3,0.5447360911726297,0.44354369282350553,0.4724647193859226,0.3963042069871237,0.34443878755054946,0.3539490882801563,0.4800496550867052,0.3988979915686209,0.4214690582862795
0.4,0.5472545781857812,0.4493786191435706,0.47681529248166016,0.4014508510471298,0.35022062183559227,0.35903235759881685,0.48380455791381843,0.40425437227365,0.42590870592178964
0.5,0.5517429981857588,0.4516266772763714,0.4797156480763389,0.40805346671608683,0.3542936835135741,0.3639358086535577,0.49014464414526665,0.4085545274471297,0.43084600081023927
0.6,0.5516272771629572,0.45049379620964913,0.4787548881997256,0.4077811860232095,0.3523915752142511,0.36222911383179,0.48811034822327903,0.40562097879756526,0.427963147820868
0.7,0.5512211900833557,0.4483996175247882,0.47716556090903783,0.40918029073966444,0.3511526676678586,0.361728392618418,0.4893258923082641,0.4049454813871094,0.4278648967124152
0.8,0.5561331409598058,0.4513073222795497,0.48110798580705394,0.41456990728219245,0.3549446594910614,0.36623951733662263,0.49346571230337866,0.4074746470021589,0.4312024954148736
0.9,0.5559410556509702,0.45315646169531554,0.4823296152742575,0.41249182821859676,0.35578673414029705,0.36627762084196464,0.4911925411234434,0.4081061602697484,0.43101588890297904
1.0,0.5530248683851511,0.4525905308327492,0.4801978456136512,0.4106610730877588,0.3551852541759482,0.36445220007624446,0.48842448994590276,0.40704607012713495,0.42861685803653254
2.0,0.5541825776976653,0.45428765376190267,0.481756891913151,0.41203317266358197,0.356497344100247,0.3655595507396431,0.49093660396972355,0.40985119131980435,0.431289111901511
3.0,0.5484508551080943,0.4499811024537343,0.47687322174855884,0.40659080448331897,0.35190694626017843,0.3609679723882139,0.48572912257669487,0.40569705433389913,0.42679083812907564
4.0,0.5577521332477339,0.4577647807104883,0.4850772174758991,0.4158725857505311,0.3601588911371811,0.3694516597099604,0.4941309688350017,0.4133186203326373,0.43458604991530847
5.0,0.5524107834761937,0.4531110563137556,0.480099511759819,0.409411139868056,0.3546336770917708,0.3635410751567087,0.49012121691319177,0.40903212263179756,0.4302094789337084
6.0,0.5490103569587386,0.45270410261083727,0.47847656672745376,0.40714001596024907,0.35475978805568087,0.3625827352153043,0.48635659011663435,0.40875949072907075,0.4285806602825759
7.0,0.5506703435812452,0.4540623162261494,0.48010931639352805,0.40669987452480727,0.35461126507875157,0.36257573275742044,0.486665235294283,0.40860949127098456,0.428715151847425
8.0,0.547894545260401,0.45149772928385196,0.47753476278431495,0.4042558301799286,0.35276562143884876,0.360640091524513,0.4841723737880132,0.40663995839340855,0.42677249770599823
9.0,0.5524269491386776,0.45333283923394196,0.48019417561903127,0.41070720384891873,0.35530011013526663,0.3645345346270505,0.4920581812784458,0.4103688107787225,0.43182105225870876
10.0,0.5534438639155778,0.4552807348915992,0.4821310209345328,0.4100350886836832,0.356518230906791,0.36528314054211986,0.4892891187201521,0.41077022261437135,0.4314306441289435
