Sigma,rouge-1-r,rouge-1-p,rouge-1-f,rouge-2-r,rouge-2-p,rouge-2-f,rouge-l-r,rouge-l-p,rouge-l-f,tn-r1-f,tn-r2-f,tn-rl-f
0.01,0.5395962425596222,0.4787770340032689,0.481766069998832,0.4193058710282436,0.3834615234669851,0.37737825798364794,0.49318713421179505,0.44266917648356174,0.44373276878876117,0.490588947,0.381699937,0.445846941
0.025,0.30533414414097454,0.5071649195536259,0.3612277706068809,0.2223303419164741,0.4091810537992944,0.2698029633638707,0.28051289004871033,0.469226523483181,0.33271275522612886,0.490588947,0.381699937,0.445846941
0.05,0.3762406992336978,0.4859230499451553,0.40288812061781665,0.27550393772056325,0.3850924036520733,0.3021269687328719,0.3414877464704298,0.44637613445042695,0.36764040228631234,0.490588947,0.381699937,0.445846941
0.075,0.46914206826704363,0.4606949248596354,0.4380211270807141,0.35239245192518154,0.36233308188753244,0.3329171434442893,0.4248670380928273,0.4239464638265892,0.40015465160787916,0.490588947,0.381699937,0.445846941
0.1,0.494963348446176,0.45394011792012573,0.4495517214523937,0.3725386522705545,0.35616848503707277,0.34168283816809497,0.4470120533345649,0.4166122681123329,0.4095473335865746,0.490588947,0.381699937,0.445846941
0.2,0.5654962119034667,0.4603540487070814,0.49083433324779774,0.4328900809852856,0.36645595328590286,0.38100010673603074,0.5098009100985772,0.4223163255349668,0.44732201278293093,0.490588947,0.381699937,0.445846941
0.3,0.5697926260354712,0.4585033781652752,0.4912237793560378,0.43184287986953335,0.36223372356551153,0.3779935606390214,0.5096022284232395,0.41737480265922294,0.44411189075821383,0.490588947,0.381699937,0.445846941
0.4,0.5667503594242668,0.4620071451539736,0.4928311697050024,0.4279549409195805,0.36558696883550457,0.37912313227360755,0.5080137013039723,0.42099591260326574,0.44605769843958837,0.490588947,0.381699937,0.445846941
0.5,0.5646593927219632,0.4590063051875205,0.48996559978821197,0.42406786632917887,0.36257570028500663,0.3758648246330216,0.5044080603804001,0.41773049361807807,0.4426233092852987,0.490588947,0.381699937,0.445846941
0.6,0.5651908289704743,0.45779398335519295,0.4892764370914498,0.42537640207489513,0.36090169571144776,0.3751038298252046,0.5059234696992027,0.41692441391478224,0.44249822315670123,0.490588947,0.381699937,0.445846941
0.7,0.5629800639353928,0.4536862501339193,0.4856873513161372,0.4238235195041332,0.3578170262553656,0.3726602422507473,0.5031243869533639,0.4127250386741053,0.438733683244647,0.490588947,0.381699937,0.445846941
0.8,0.5650141304816435,0.4558606465805955,0.48795198032979925,0.4248041981468379,0.35890934294408344,0.3737300460740951,0.5043836980111961,0.4143219502508635,0.44038762357084826,0.490588947,0.381699937,0.445846941
