,fahim,k.Sarkar,Tasfir Nayeem,lexrank
R1-recall,0.6445274997253564,0.39290365253521503,0.5177918883234955,0.19338693272844695
R1 prec,0.42681211543168585,0.16912545490448355,0.22971005274813389,0.3723091187611806
R1 f1,0.48826807000591804,0.22590063885052356,0.2908362432922121,0.2416598071407930
R2 recall,0.579613767654931,0.22179852051122226,0.40492360865423904,0.12815310723004722
R2 prec,0.372211021906575,0.09368851194098582,0.1694969839892234,0.2541671598679196
R2 f1,0.42733493113027743,0.1247621333858068,0.21527444400632892,0.1609684076472561
R-Ics recall,0.6272711498538973,0.3131124481482127,0.4671535736939049,0.18005881447216568
R-Ics prec,0.4167125900465813,0.13564663047102188,0.20846732307318092,0.3460152992912553
R-lcs f1,0.476129232291286,0.18057337452875402,0.2629663788200545,0.2249250562774117
