,fahim,ksarkar,tasfir nayeem,lexrank
r1-r,0.44958509627312426,0.443514970603652,0.4363525092961751,0.13701751457025238
r1-p,0.5280853458312135,0.4359553330083496,0.44338998084348447,0.6296823463672365
r1-f,0.46608867131137477,0.42476978559427025,0.4054350964035439,0.21890094849366667
r2-r,0.34184519834029203,0.2951135144107832,0.3102688157995066,0.08715071255544163
r2-p,0.4201594692393098,0.31077315207276524,0.3318726216873641,0.47021952284793017
r2-f,0.3583874827716697,0.2911239336688451,0.29086951894701973,0.14321421842694482
rl-r,0.4119420066241799,0.3794491082657378,0.3827720592649574,0.1270181690285585
rl-p,0.4881258479553577,0.3790795906596212,0.3939987610384731,0.5851455055625168
rl-f,0.42898605940337814,0.36701060380415423,0.3576621348423605,0.20313215528995546
