,fahim,k.Sarkar,Tasfir Nayeem,lexrank
R1-recall,0.34129086302105466,0.3452940746180087,0.3114601510618786,0.16846948150589286
R1 prec,0.5441262679636562,0.5374430192903875,0.4830739877330639,0.6550059956813057
R1 f1,0.41242903386833696,0.41472699882410874,0.3613598398068434,0.2585817275269696
R2 recall,0.27462645846256367,0.2680391106122822,0.24228383386338395,0.12159413808303415
R2 prec,0.45291327567648065,0.4398611467998022,0.39213725584022835,0.5092038752291818
R2 f1,0.3361171442764271,0.3281836398688222,0.2847017988315897,0.18934801050357297
R-Ics recall,0.3278947366324358,0.3255316388791977,0.2929478933987676,0.15924677052394626
R-Ics prec,0.5185415630474975,0.5057403278528968,0.45498408188548833,0.6095385189429314
R-lcs f1,0.395222854034487,0.3907024026966097,0.3399908645996628,0.24376424845570674
