,fahim,k.Sarkar,Tasfir Nayeem,lexrank
R1-recall,0.5348615573933015,0.32779942395247375,0.3717917257644177,0.14253694431578112
R1 prec,0.48532346845418284,0.2845065805019607,0.32280924473216516,0.5278478690290888
R1 f1,0.493340693295924,0.2958237843839554,0.31178191083785417,0.21735338722845218
R2 recall,0.4488888821192509,0.19975318756040644,0.27301812444760637,0.09322672428804062
R2 prec,0.4108204888850413,0.17868654604295525,0.22628658482596006,0.37412848114069625
R2 f1,0.41399033646786765,0.18256137007240958,0.22137573875914862,0.14470139815296376
R-Ics recall,0.5115851444107564,0.26887770355510776,0.3295183099331206,0.13273258810078137
R-Ics prec,0.4670213391977677,0.236357400169911,0.2868066172900819,0.4879876108380903
R-lcs f1,0.473423646511441,0.24441134361954997,0.2764679640900426,0.2020697505740972
