Sigma,rouge-1-r,rouge-1-p,rouge-1-f,rouge-2-r,rouge-2-p,rouge-2-f,rouge-l-r,rouge-l-p,rouge-l-f
1e-12,0.5718837970975594,0.47073296342214416,0.4986312343101332,0.44666844770683856,0.379108373309382,0.3935910253128039,0.5194422216740014,0.434146524505481,0.45711516139966174
2.5e-12,0.555440557532758,0.4561206547792067,0.48377988848484066,0.4246965630346048,0.35871047222415603,0.3728890222694949,0.4994344269864372,0.41653442822222947,0.4390842191237438
5e-12,0.5686952514138587,0.465038759100158,0.4940371328478057,0.44495761556560043,0.372775689896599,0.3893362321813678,0.5178887223080536,0.429364078677867,0.45371602319655435
7.5e-12,0.5705579066787722,0.4691818061345746,0.49783190208700157,0.44483187746843417,0.3751509440079991,0.3907325235961902,0.5181713830874051,0.4314967047793722,0.4554891243095905
1e-11,0.5603305985104817,0.46131610734852097,0.4879749326680253,0.430342609249528,0.36461763912005946,0.3777371384260037,0.5037253520532513,0.42104055187149586,0.4426465970046828
2.5e-11,0.5757709920612434,0.4716397028729,0.5008160421538347,0.45201945100689234,0.37817250673579383,0.39492368323124655,0.5227429426220378,0.43387688808556424,0.4583667856857045
5e-11,0.5613295980721277,0.46046663840987656,0.48895059630732635,0.43305665838010765,0.36513203166894015,0.38011828749546656,0.5063188902736412,0.42145367859012683,0.44495933213337047
7.5e-11,0.5655291300642791,0.46397213888219774,0.49158597667184023,0.4365794706889672,0.3686028547218903,0.38279509329954814,0.5103941143568246,0.42507996120511776,0.447696287285934
1e-10,0.5650690961762325,0.4633554745889255,0.4905011044524435,0.43806146818217045,0.3701160020157077,0.3835392949808571,0.5108341895471035,0.4249482139206178,0.4472420581831263
2.5e-10,0.5663952977498767,0.46556113055044995,0.49314971853629497,0.4352173142734188,0.36942836981254856,0.3830835778024169,0.5086211515783444,0.4256014240353633,0.4476528198803792
5e-10,0.5691528557333253,0.47029357945924727,0.4972150734721972,0.44038861124776046,0.37528743161074263,0.3887881116719343,0.5148667731136289,0.43234386864683233,0.45419723768697934
7.5e-10,0.5659827278032115,0.4626983007136396,0.4916576450603659,0.43867033785221665,0.3696850257547806,0.3850797260386854,0.5136831151870712,0.42620868391458094,0.4503062403593625
1e-09,0.5699621641602302,0.4689763367105729,0.4966941958935393,0.4419343738882526,0.3738784368485053,0.38846986737750383,0.5148937852451226,0.43010646152231213,0.45291745981640347
2.5e-09,0.5706574938137955,0.46636301976010225,0.4957296210881401,0.443508003387621,0.3719296592956874,0.3882286339854098,0.5177832971133786,0.4287487337708557,0.45352855166925904
5e-09,0.5641373190472946,0.46488444157912706,0.4922708825865225,0.4330936328119016,0.36727897859925823,0.381484665761678,0.5060807787402919,0.42372989564294555,0.4459642189533828
7.5e-09,0.5634170206528443,0.4615094847506354,0.4899149638618171,0.43334736968165244,0.36505954161606907,0.37986065155103915,0.506885200292514,0.42198934672226357,0.44509222828491635
1e-08,0.5687955579849653,0.4691214523104659,0.4961050501661734,0.4428047332205139,0.376654767979249,0.38985641715181124,0.5165398532696105,0.432970487703341,0.45493302653770035
2.5e-08,0.559099722830379,0.46072409175390777,0.4876216756329231,0.4317938535421829,0.36534911689727756,0.37941744939342875,0.5068839080344028,0.42394157674248195,0.44609204662918384
5e-08,0.5701826584438794,0.46858066901573986,0.49689587806916496,0.4442667542052011,0.37435605288293616,0.38972294885028136,0.516104638163882,0.42975714788610675,0.45345432890077897
7.5e-08,0.5750367157879593,0.4678763066340257,0.4971431170722102,0.4488422722921363,0.3727293440114171,0.389136817027873,0.5245460084877996,0.43157845169657877,0.456477581015001
1e-07,0.5641568726737819,0.4645600416988331,0.4919877200170131,0.43658143567227403,0.3707339061778559,0.3844950610335493,0.5080359952914018,0.42506076261688586,0.4474944116957753
2.5e-07,0.5537953448713772,0.4562453687958462,0.4827931262624269,0.4239445777688026,0.3592931437620722,0.37251286840227776,0.49733070097984033,0.41553575940573884,0.43724031761094106
5e-07,0.5579117009019046,0.45854472150223347,0.48558976382086827,0.42755914338345286,0.36269412162259695,0.37604131935495566,0.5047366218976914,0.42181699203852824,0.44378586436738243
7.5e-07,0.5712554836684488,0.4701536935631865,0.4981132539480533,0.44462837220747775,0.3764813161682033,0.39145707024255133,0.51735640170415,0.43203394251172655,0.45513156356663637
1e-06,0.5702837321095864,0.46962342715858757,0.4977186828445014,0.44008622661164537,0.3753685349104226,0.38911220054676354,0.5150884114868064,0.4308800266064988,0.4540309474736804
2.5e-06,0.5661826472269448,0.4650147210842615,0.4925542676637752,0.4374250073141123,0.3692308243348041,0.3837643554050879,0.5123710197032613,0.4265596057895771,0.4493497721364183
5e-06,0.5714940793750206,0.4660635898637532,0.49607771387849936,0.4448612423527494,0.37217497888451,0.3887797374292398,0.5169092630226277,0.42741120742424077,0.45257547632703127
7.5e-06,0.5542964545383239,0.4552017255881788,0.48211156459418786,0.42498550002823,0.35919960601254236,0.37278949820525387,0.4993255711977204,0.41618628572606886,0.438195902791601
1e-05,0.5604695356383061,0.4632014862957768,0.48957085512162657,0.4313825073500704,0.36827499175704353,0.3811825685079703,0.5034566089259098,0.4236316661912813,0.44466535215093617
2.5e-05,0.5603185669042908,0.4630422396073621,0.4892286713464763,0.4310218382605208,0.3657543885733272,0.37885978866324643,0.5045147693166008,0.42369439311095963,0.4448579927291513
5e-05,0.5618294292571318,0.46157713186662486,0.4891256044304355,0.4358858063093394,0.3674471397811953,0.3823751777431996,0.5087418803778222,0.4241800966519569,0.4468106932125306
7.5e-05,0.5678114512109365,0.46668184044412075,0.49457983942743156,0.4406383211856438,0.3712137491492578,0.3864159098299787,0.5131998366434002,0.4275980661742573,0.4508213555800156
0.0001,0.5599123904359988,0.45933296536308177,0.4871309273827682,0.43136841950167415,0.36476289262906386,0.37893828116212497,0.5049379470952498,0.4213330066806774,0.44390688860569366
0.00025,0.5639916779384413,0.4632801623489873,0.4910555083770343,0.43494120525732455,0.3677921883928956,0.38242831695825275,0.5079847155296852,0.4241885450955539,0.4468497843417433
0.0005,0.563639027733127,0.46396609849531945,0.49129060499996,0.4391021956828317,0.37022542636815414,0.38497315252109154,0.5108112516550066,0.4268064574056524,0.4493274352522667
0.00075,0.5638580500444768,0.4627347726567286,0.4902428798130837,0.43437872487779655,0.36585194764924256,0.38039813011858653,0.5062419892526274,0.4215444346570079,0.44412134221673055
0.001,0.5631744037479207,0.46032430897184345,0.4892461042589424,0.43460153858599365,0.3645400816610853,0.37994931099954166,0.5075271520229303,0.4201618581147292,0.4443320774555114
0.0025,0.5710479835824146,0.4756107405314207,0.5008020392408569,0.4476810660974289,0.38322955339311593,0.39590050888725903,0.5189959344567928,0.43800371748503625,0.45887379000765577
0.005,0.5256534171337377,0.46985753487238446,0.4740026420176314,0.40432925535878256,0.37305282561021513,0.3678510480761632,0.47501342441517175,0.42919399589889456,0.43146697472150525
0.0075,0.4606503796843668,0.49160699989063067,0.4450651951011155,0.3553879200226905,0.39363027217650426,0.3456533390509776,0.42240288801780285,0.4544906676918747,0.41067480091838704
0.01,0.34983527616508675,0.5282590464971773,0.3956237961559397,0.2634506416964167,0.4228297898059312,0.30157172499748364,0.323679710870463,0.489512373146735,0.36659813308309047
0.025,0.2627662977261616,0.48491365690512883,0.3267629432301506,0.17905027750726876,0.3854521806447674,0.23361812437512447,0.2380478862303008,0.44765854036749475,0.29841901671040044
0.05,0.3929260662078596,0.45202329013023446,0.39346742657359385,0.28003145729143425,0.3488928123478983,0.2878425409514324,0.34983471349473366,0.4104894151175847,0.3538760562316704
0.075,0.4400742694091005,0.4461697678841521,0.41720970310235483,0.31787800646696057,0.346405539461452,0.30941816988575455,0.3928037144128037,0.4070989648777882,0.37690097852987114
0.1,0.47054236999551485,0.4424114029887561,0.4346248750131548,0.3425666718316435,0.34353749248745163,0.32382733875583947,0.4198563656720287,0.40207880621282105,0.3916827043181168
0.2,0.5320689775337814,0.4437469837355825,0.4671107759850412,0.38552654204532844,0.34019681906178184,0.34625448867769165,0.4687179577009486,0.39797776570851023,0.41578724621275837
0.3,0.5452105002669251,0.4533836020379643,0.4780735505014634,0.4017253637923539,0.3534931663556611,0.36043039211559413,0.4832992696628087,0.41000837777613697,0.4287861204192164
0.4,0.5483242908704122,0.45614526991414983,0.4810594890011587,0.40589792006909153,0.35726344448832487,0.3643136074452836,0.4850859274912804,0.4113549860392532,0.4304188395145036
0.5,0.552006628600612,0.457013743247031,0.4834003919583415,0.4086025341504512,0.3578793372484597,0.36593369326712627,0.49106316971034625,0.413803269506741,0.4345045069488304
0.6,0.549589578334279,0.45495719618571867,0.48118555109688266,0.40654660971503737,0.35666976709805187,0.3646913609503639,0.48623684103428794,0.41025362851582975,0.43051929615874107
0.7,0.5480678950094269,0.4525305473088831,0.4788289062509565,0.40426642938053475,0.35328052858736897,0.36131775801182664,0.4850528506973452,0.4076389594660413,0.4281040352395974
0.8,0.5518177416913426,0.45397599753515266,0.48115568781480467,0.4074087225269977,0.3547229805367556,0.3634167902944723,0.4869761185450182,0.40818753384336603,0.429344352946609
0.9,0.5509781315436141,0.45476487320169356,0.48123166048611127,0.4072752734969702,0.3555061468572692,0.36379562680134053,0.4865119085732688,0.40903197984798856,0.4296017344975319
1.0,0.5484351595520299,0.4531933271629112,0.47929866381048053,0.4044465338459913,0.3545876836367606,0.36212076236246316,0.48388591176964024,0.40760388767946143,0.4276615120320424
2.0,0.5495600239496243,0.45337171989077407,0.4795751023964983,0.40568746257116417,0.35420858396132027,0.3622439413496071,0.4846756953137988,0.40772485573393263,0.42781806149179574
3.0,0.5513704877400922,0.4545746803505822,0.480876264463461,0.4089813859293231,0.3565461550967217,0.36482613279568893,0.48708841132165936,0.40884871316516036,0.4292631426187274
